date,temperature,humidity,lumnosity
2022-11-27 13:13:11.668,25.3,50.2,253
2022-11-27 13:13:10.024,25.3,50.2,253
2022-11-27 13:13:08.381,25.3,50.3,253
2022-11-27 13:13:06.738,25.2,50.3,253
2022-11-27 13:13:05.095,25.3,50.1,253
2022-11-27 13:13:03.451,25.3,50.1,253
2022-11-27 13:13:01.809,25.3,50.9,252
2022-11-27 13:13:00.166,25.3,50.1,252
2022-11-27 13:12:58.523,25.2,50.4,236
2022-11-27 13:12:56.879,25.2,50.1,236
2022-11-27 13:12:55.235,25.3,50.0,249
2022-11-27 13:12:53.591,25.2,50.1,251
2022-11-27 13:12:51.949,25.3,50.0,250
2022-11-27 13:12:50.305,25.3,49.4,244
2022-11-27 13:12:48.662,25.3,49.4,234
2022-11-27 13:12:47.019,25.3,49.5,233
2022-11-27 13:12:45.376,25.3,49.3,239
2022-11-27 13:12:43.733,25.2,49.3,236
2022-11-27 13:12:42.089,25.2,49.6,239
2022-11-27 13:12:40.446,25.2,49.7,243
2022-11-27 13:12:38.803,25.2,49.9,250
2022-11-27 13:12:37.160,25.2,49.9,250
2022-11-27 13:12:35.517,25.2,50.1,251
2022-11-27 13:12:33.873,25.2,50.1,251
2022-11-27 13:12:32.230,25.2,49.8,250
2022-11-27 13:12:30.588,25.2,50.0,250
2022-11-27 13:12:28.945,25.2,49.7,252
2022-11-27 13:12:27.301,25.2,50.1,253
2022-11-27 13:12:25.658,25.2,49.9,253
2022-11-27 13:12:26.014,25.2,49.8,252
2022-11-27 13:12:22.371,25.2,49.7,252
2022-11-27 13:12:20.727,25.2,49.7,251
2022-11-27 13:12:19.084,25.2,49.7,251
2022-11-27 13:12:17.441,25.2,49.8,252
2022-11-27 13:12:15.798,25.2,49.6,252
2022-11-27 13:12:14.154,25.2,49.6,252
2022-11-27 13:12:12.511,25.2,49.1,252
2022-11-27 13:12:10.867,25.2,49.1,253
2022-11-27 13:12:09.224,25.3,49.4,253
2022-11-27 13:12:07.580,25.2,49.4,253
2022-11-27 13:12:05.936,25.2,49.5,253
2022-11-27 13:12:04.292,25.2,49.7,253
2022-11-27 13:12:02.649,25.2,49.9,252
2022-11-27 13:12:01.007,25.2,49.8,251
2022-11-27 13:11:59.364,25.2,49.5,252
2022-11-27 13:11:57.720,25.2,49.5,253
2022-11-27 13:11:56.077,25.2,49.2,253
2022-11-27 13:11:54.433,25.2,49.6,253
2022-11-27 13:11:52.790,25.2,48.9,252
2022-11-27 13:11:51.147,25.2,48.6,252
2022-11-27 13:11:49.504,25.2,48.3,253
2022-11-27 13:11:47.860,25.3,48.2,253
2022-11-27 13:11:46.216,25.3,48.9,253
2022-11-27 13:11:44.574,25.3,48.7,254
2022-11-27 13:11:42.930,25.2,48.8,227
2022-11-27 13:11:41.288,25.2,48.0,231
2022-11-27 13:11:39.645,25.2,48.0,252
2022-11-27 13:11:38.001,25.2,48.0,251
2022-11-27 13:11:36.358,25.2,48.1,251
2022-11-27 13:11:34.714,25.2,48.8,251
2022-11-27 13:11:33.071,25.2,48.9,252
2022-11-27 13:11:31.427,25.2,48.7,251
2022-11-27 13:11:29.784,25.2,48.6,251
2022-11-27 13:11:28.140,25.2,48.5,250
2022-11-27 13:11:26.497,25.2,48.4,249
2022-11-27 13:11:26.854,25.3,48.3,248
2022-11-27 13:11:23.210,25.3,48.4,247
2022-11-27 13:11:21.567,25.3,48.5,252
2022-11-27 13:11:19.925,25.2,48.4,252
2022-11-27 13:11:18.281,25.3,48.5,250
2022-11-27 13:11:16.638,25.3,48.6,251
2022-11-27 13:11:14.994,25.3,48.2,237
2022-11-27 13:11:13.351,25.2,48.5,218
2022-11-27 13:11:11.708,25.2,48.3,223
2022-11-27 13:11:10.065,25.2,48.4,252
2022-11-27 13:11:08.422,25.3,48.4,252
2022-11-27 13:11:06.780,25.2,48.5,252
2022-11-27 13:11:05.137,25.2,48.9,252
2022-11-27 13:11:03.493,25.2,48.9,252
2022-11-27 13:11:01.851,25.2,48.6,251
2022-11-27 13:11:00.206,25.2,48.9,250
2022-11-27 13:10:58.563,25.2,48.0,251
2022-11-27 13:10:56.920,25.3,48.2,251
2022-11-27 13:10:55.277,25.2,48.2,251
2022-11-27 13:10:53.634,25.2,48.3,252
2022-11-27 13:10:51.991,25.2,48.5,253
2022-11-27 13:10:50.347,25.2,48.6,251
2022-11-27 13:10:48.702,25.2,48.8,251
2022-11-27 13:10:47.060,25.2,48.8,251
2022-11-27 13:10:45.418,25.2,48.9,250
2022-11-27 13:10:43.776,25.2,49.1,249
2022-11-27 13:10:42.133,25.2,49.2,249
2022-11-27 13:10:40.491,25.2,49.3,250
2022-11-27 13:10:38.847,25.2,49.1,250
2022-11-27 13:10:37.203,25.2,49.6,250
2022-11-27 13:10:35.560,25.2,49.7,249
2022-11-27 13:10:33.917,25.2,49.9,249
2022-11-27 13:10:32.274,25.2,49.0,249
2022-11-27 13:10:30.630,25.2,49.2,249
2022-11-27 13:10:28.987,25.2,49.5,249
2022-11-27 13:10:27.343,25.2,49.8,250
2022-11-27 13:10:25.700,25.2,49.7,250
2022-11-27 13:10:26.056,25.2,49.9,250
