date,temperature,humidity,luminosity
2022-11-26 17:40:13.441,26.1,46.0,243
2022-11-26 17:40:12.166,26.0,45.9,244
2022-11-26 17:40:11.163,26.0,45.9,245
2022-11-26 17:40:09.885,26.0,45.9,244
2022-11-26 17:40:08.885,26.0,45.9,244
2022-11-26 17:40:07.607,26.0,45.9,245
2022-11-26 17:40:06.607,26.0,45.9,244
2022-11-26 17:40:05.330,26.0,45.9,243
2022-11-26 17:40:04.325,26.0,45.9,244
2022-11-26 17:40:03.052,26.1,45.9,244
2022-11-26 17:40:02.049,26.1,45.9,245
2022-11-26 17:40:00.770,26.0,45.9,243
2022-11-26 17:39:59.771,26.0,45.9,243
2022-11-26 17:39:58.493,26.0,45.9,244
2022-11-26 17:39:57.493,26.0,45.9,244
2022-11-26 17:39:56.215,26.1,46.0,243
2022-11-26 17:39:55.212,26.1,46.0,244
2022-11-26 17:39:53.938,26.1,46.0,244
2022-11-26 17:39:52.933,26.1,46.0,244
2022-11-26 17:39:51.659,26.0,46.0,243
2022-11-26 17:39:50.656,26.0,46.0,244
2022-11-26 17:39:49.377,26.0,46.0,244
2022-11-26 17:39:48.379,26.0,46.0,244
2022-11-26 17:39:47.099,26.0,46.0,243
2022-11-26 17:39:46.096,26.0,46.0,244
2022-11-26 17:39:44.822,26.0,46.0,244
2022-11-26 17:39:43.819,26.0,46.0,244
2022-11-26 17:39:42.544,26.0,46.1,244
2022-11-26 17:39:41.541,26.0,46.1,244
2022-11-26 17:39:40.264,26.0,46.1,244
2022-11-26 17:39:39.263,26.0,46.1,243
2022-11-26 17:39:37.985,26.0,46.2,243
2022-11-26 17:39:36.987,26.0,46.2,244
2022-11-26 17:39:35.707,26.0,46.2,244
2022-11-26 17:39:34.705,26.0,46.2,243
2022-11-26 17:39:33.431,26.0,46.2,243
2022-11-26 17:39:32.427,26.0,46.2,244
2022-11-26 17:39:31.153,26.0,46.1,244
2022-11-26 17:39:30.148,26.0,46.1,243
2022-11-26 17:39:28.870,26.0,46.1,243
2022-11-26 17:39:27.871,26.0,46.1,244
2022-11-26 17:39:26.594,26.0,46.2,244
2022-11-26 17:39:25.594,26.0,46.2,243
2022-11-26 17:39:24.316,26.0,46.2,244
2022-11-26 17:39:26.312,26.0,46.2,244
2022-11-26 17:39:22.037,26.0,46.2,244
2022-11-26 17:39:21.033,26.0,46.2,243
2022-11-26 17:39:19.756,26.0,46.2,244
2022-11-26 17:39:18.757,26.0,46.2,244
2022-11-26 17:39:17.479,26.0,46.3,243
2022-11-26 17:39:16.479,26.0,46.3,239
2022-11-26 17:39:15.200,26.0,46.3,242
2022-11-26 17:39:14.197,26.0,46.3,244
2022-11-26 17:39:12.924,26.0,46.4,244
2022-11-26 17:39:11.920,26.0,46.4,243
2022-11-26 17:39:10.645,26.1,46.6,244
2022-11-26 17:39:09.643,26.1,46.6,244
2022-11-26 17:39:08.364,26.1,46.6,244
2022-11-26 17:39:07.365,26.1,46.6,243
2022-11-26 17:39:06.086,26.0,46.6,244
2022-11-26 17:39:05.083,26.0,46.6,244
2022-11-26 17:39:03.809,26.0,46.7,244
2022-11-26 17:39:02.805,26.0,46.7,244
2022-11-26 17:39:01.527,26.0,46.8,245
2022-11-26 17:39:00.528,26.0,46.8,245
2022-11-26 17:38:59.250,26.0,46.8,244
2022-11-26 17:38:58.250,26.0,46.8,243
2022-11-26 17:38:56.971,26.1,47.0,244
2022-11-26 17:38:55.968,26.1,47.0,244
2022-11-26 17:38:54.695,26.0,46.9,243
2022-11-26 17:38:53.691,26.0,46.9,243
2022-11-26 17:38:52.416,26.0,46.8,244
2022-11-26 17:38:51.413,26.0,46.8,244
2022-11-26 17:38:50.135,26.0,46.8,243
2022-11-26 17:38:49.136,26.0,46.8,243
2022-11-26 17:38:47.857,26.0,46.8,244
2022-11-26 17:38:46.853,26.0,46.8,244
2022-11-26 17:38:45.580,26.0,46.7,243
2022-11-26 17:38:44.576,26.0,46.7,244
2022-11-26 17:38:43.302,26.0,46.7,244
2022-11-26 17:38:42.299,26.0,46.7,244
2022-11-26 17:38:41.021,26.0,46.7,243
2022-11-26 17:38:40.020,26.0,46.7,244
2022-11-26 17:38:38.743,26.0,46.7,244
2022-11-26 17:38:37.739,26.0,46.7,244
2022-11-26 17:38:36.465,26.1,46.8,244
2022-11-26 17:38:35.461,26.1,46.8,244
2022-11-26 17:38:34.188,26.0,46.7,245
2022-11-26 17:38:33.183,26.0,46.7,244
2022-11-26 17:38:31.905,26.0,46.7,244
2022-11-26 17:38:30.907,26.0,46.7,244
2022-11-26 17:38:29.629,26.0,46.7,245
2022-11-26 17:38:28.624,26.0,46.7,244
2022-11-26 17:38:27.350,26.0,46.8,244
2022-11-26 17:38:26.347,26.0,46.8,245
2022-11-26 17:38:25.073,26.0,46.7,244
2022-11-26 17:38:24.069,26.0,46.7,243
2022-11-26 17:38:22.792,26.0,46.7,244
2022-11-26 17:38:21.791,26.0,46.7,244
2022-11-26 17:38:20.514,26.0,46.7,243
2022-11-26 17:38:19.509,26.0,46.7,242
2022-11-26 17:38:18.235,26.0,46.6,244
2022-11-26 17:38:17.232,26.0,46.6,244
2022-11-26 17:38:15.959,26.0,46.6,244
2022-11-26 17:38:14.955,26.0,46.6,244
2022-11-26 17:38:13.676,26.0,46.5,245
2022-11-26 17:38:12.677,26.0,46.5,245
2022-11-26 17:38:11.399,26.0,46.5,244
