date,temperature,humidity,luminosity
2022-11-26 17:47:58.275,26.2,49.1,243
2022-11-26 17:47:57.001,26.2,49.2,243
2022-11-26 17:47:55.998,26.2,49.2,243
2022-11-26 17:47:54.720,26.2,49.4,243
2022-11-26 17:47:53.720,26.2,49.4,243
2022-11-26 17:47:52.443,26.2,49.6,242
2022-11-26 17:47:51.443,26.2,49.6,243
2022-11-26 17:47:50.165,26.2,49.5,243
2022-11-26 17:47:49.161,26.2,49.5,242
2022-11-26 17:47:47.886,26.2,49.2,242
2022-11-26 17:47:46.884,26.2,49.2,243
2022-11-26 17:47:45.605,26.2,49.0,243
2022-11-26 17:47:44.605,26.2,49.0,243
2022-11-26 17:47:43.327,26.2,48.9,242
2022-11-26 17:47:42.328,26.2,48.9,244
2022-11-26 17:47:41.050,26.2,49.1,243
2022-11-26 17:47:40.046,26.2,49.1,242
2022-11-26 17:47:38.772,26.2,49.3,242
2022-11-26 17:47:37.769,26.2,49.3,243
2022-11-26 17:47:36.495,26.2,49.6,243
2022-11-26 17:47:35.491,26.2,49.6,242
2022-11-26 17:47:34.213,26.2,49.8,242
2022-11-26 17:47:33.213,26.2,49.8,243
2022-11-26 17:47:31.935,26.2,50.1,243
2022-11-26 17:47:30.936,26.2,50.1,242
2022-11-26 17:47:29.658,26.2,50.1,243
2022-11-26 17:47:28.654,26.2,50.1,243
2022-11-26 17:47:27.379,26.2,49.9,243
2022-11-26 17:47:26.377,26.2,49.9,242
2022-11-26 17:47:25.098,26.2,50.0,242
2022-11-26 17:47:24.098,26.2,50.0,243
2022-11-26 17:47:22.821,26.2,50.2,242
2022-11-26 17:47:21.821,26.2,50.2,241
2022-11-26 17:47:20.542,26.2,50.3,242
2022-11-26 17:47:19.539,26.2,50.3,243
2022-11-26 17:47:18.266,26.2,50.4,242
2022-11-26 17:47:17.262,26.2,50.4,241
2022-11-26 17:47:15.988,26.2,50.4,243
2022-11-26 17:47:14.985,26.2,50.4,243
2022-11-26 17:47:13.707,26.2,50.2,242
2022-11-26 17:47:12.706,26.2,50.2,241
2022-11-26 17:47:11.429,26.2,50.5,241
2022-11-26 17:47:10.425,26.2,50.5,243
2022-11-26 17:47:09.150,26.2,50.4,243
2022-11-26 17:47:08.147,26.2,50.4,245
2022-11-26 17:47:06.874,26.2,50.3,246
2022-11-26 17:47:05.869,26.2,50.3,246
2022-11-26 17:47:04.591,26.2,50.1,245
2022-11-26 17:47:03.592,26.2,50.1,245
2022-11-26 17:47:02.314,26.2,50.4,243
2022-11-26 17:47:01.315,26.2,50.4,243
2022-11-26 17:47:00.037,26.2,50.7,242
2022-11-26 17:46:59.033,26.2,50.7,242
2022-11-26 17:46:57.758,26.2,50.8,243
2022-11-26 17:46:56.756,26.2,50.8,243
2022-11-26 17:46:55.477,26.2,51.2,241
2022-11-26 17:46:54.477,26.2,51.2,242
2022-11-26 17:46:53.200,26.2,51.6,243
2022-11-26 17:46:52.199,26.2,51.6,243
2022-11-26 17:46:50.922,26.2,51.9,242
2022-11-26 17:46:49.918,26.2,51.9,242
2022-11-26 17:46:48.644,26.1,51.7,243
2022-11-26 17:46:47.640,26.1,51.7,243
2022-11-26 17:46:46.366,26.1,51.3,242
2022-11-26 17:46:45.363,26.1,51.3,243
2022-11-26 17:46:44.084,26.1,51.4,243
2022-11-26 17:46:43.085,26.1,51.4,242
2022-11-26 17:46:41.807,26.1,51.3,241
2022-11-26 17:46:40.808,26.1,51.3,242
2022-11-26 17:46:39.530,26.1,51.3,243
2022-11-26 17:46:38.526,26.1,51.3,243
2022-11-26 17:46:37.253,26.1,51.3,242
2022-11-26 17:46:36.249,26.1,51.3,243
2022-11-26 17:46:34.971,26.1,51.2,244
2022-11-26 17:46:33.970,26.1,51.2,243
2022-11-26 17:46:32.692,26.1,51.1,242
2022-11-26 17:46:31.693,26.1,51.1,244
2022-11-26 17:46:30.414,26.1,50.8,248
2022-11-26 17:46:29.411,26.1,50.8,247
2022-11-26 17:46:28.137,26.1,50.6,246
2022-11-26 17:46:27.134,26.1,50.6,247
2022-11-26 17:46:25.856,26.1,50.8,248
2022-11-26 17:46:24.857,26.1,50.8,247
2022-11-26 17:46:23.577,26.1,50.7,246
2022-11-26 17:46:22.578,26.1,50.7,247
2022-11-26 17:46:21.300,26.1,50.4,244
2022-11-26 17:46:20.296,26.1,50.4,243
2022-11-26 17:46:19.023,26.1,50.4,244
2022-11-26 17:46:18.019,26.1,50.4,244
2022-11-26 17:46:16.741,26.1,50.6,244
2022-11-26 17:46:15.741,26.1,50.6,243
2022-11-26 17:46:14.464,26.1,50.6,244
2022-11-26 17:46:13.464,26.1,50.6,245
2022-11-26 17:46:12.186,26.1,50.9,254
2022-11-26 17:46:11.182,26.1,50.9,244
2022-11-26 17:46:09.908,26.1,51.0,244
2022-11-26 17:46:08.904,26.1,51.0,245
2022-11-26 17:46:07.626,26.1,51.0,244
2022-11-26 17:46:06.626,26.1,51.0,243
2022-11-26 17:46:05.348,26.1,50.6,244
2022-11-26 17:46:04.349,26.1,50.6,245
2022-11-26 17:46:03.071,26.1,49.9,243
2022-11-26 17:46:02.068,26.1,49.9,252
2022-11-26 17:46:00.793,26.1,49.3,253
2022-11-26 17:45:59.789,26.1,49.3,253
2022-11-26 17:45:58.513,26.1,49.2,252
2022-11-26 17:45:57.513,26.1,49.2,253
2022-11-26 17:45:56.234,26.1,49.5,253
2022-11-26 17:45:55.234,26.1,49.5,244
2022-11-26 17:45:53.956,26.1,49.6,243
2022-11-26 17:45:52.953,26.1,49.6,244
2022-11-26 17:45:51.678,26.1,49.3,244
2022-11-26 17:45:50.676,26.1,49.3,244
2022-11-26 17:45:49.397,26.1,49.1,243
2022-11-26 17:45:48.398,26.1,49.1,243
2022-11-26 17:45:47.119,26.1,47.7,244
2022-11-26 17:45:46.119,26.1,47.7,243
2022-11-26 17:45:44.841,26.1,47.2,243
2022-11-26 17:45:43.838,26.1,47.2,243
2022-11-26 17:45:42.564,26.0,47.1,244
2022-11-26 17:45:41.561,26.0,47.1,243
2022-11-26 17:45:40.283,26.1,47.2,243
2022-11-26 17:45:39.283,26.1,47.2,244
2022-11-26 17:45:38.005,26.1,47.2,245
2022-11-26 17:45:37.006,26.1,47.2,244
2022-11-26 17:45:35.727,26.1,47.2,243
2022-11-26 17:45:34.725,26.1,47.2,241
2022-11-26 17:45:33.450,26.1,47.3,244
2022-11-26 17:45:32.446,26.1,47.3,243
2022-11-26 17:45:31.169,26.1,47.3,245
2022-11-26 17:45:30.169,26.1,47.3,245
2022-11-26 17:45:28.890,26.1,47.4,245
2022-11-26 17:45:27.890,26.1,47.4,244
2022-11-26 17:45:26.613,26.1,47.5,245
2022-11-26 17:45:25.610,26.1,47.5,246
2022-11-26 17:45:24.336,26.1,47.6,244
2022-11-26 17:45:23.331,26.1,47.6,244
2022-11-26 17:45:22.053,26.1,47.7,245
2022-11-26 17:45:21.054,26.1,47.7,245
2022-11-26 17:45:19.776,26.1,47.8,244
